,Reviewer_Name,Review,Rating,Time,Tat_ID
0,Monicka C.,"I've been wanting to get a tattoo for the longest time, and after doing some research, I came across Jing on Instagram and just knew I had to get my first...",5.0,2019-12-30 08:56:38,2krcy6ooduY4QCHnRAzM-w
1,Michael Z.,I came across a flash tattoo on Instagram and I instantly fell in love with Joseph's design. I loved the minimalistic and fine line style of his work and...,5.0,2019-10-03 15:28:40,2krcy6ooduY4QCHnRAzM-w
2,Lina T.,I reached out to Jing months in advance to book an appointment for this past weekend. I wanted a geometric design of a Chihuahua in memory of my first dog....,5.0,2019-09-16 18:47:54,2krcy6ooduY4QCHnRAzM-w
3,Monicka C.,"I've been wanting to get a tattoo for the longest time, and after doing some research, I came across Jing on Instagram and just knew I had to get my first...",5.0,2019-12-30 08:56:38,2krcy6ooduY4QCHnRAzM-w
4,Michael Z.,I came across a flash tattoo on Instagram and I instantly fell in love with Joseph's design. I loved the minimalistic and fine line style of his work and...,5.0,2019-10-03 15:28:40,2krcy6ooduY4QCHnRAzM-w
5,Lina T.,I reached out to Jing months in advance to book an appointment for this past weekend. I wanted a geometric design of a Chihuahua in memory of my first dog....,5.0,2019-09-16 18:47:54,2krcy6ooduY4QCHnRAzM-w
6,Monicka C.,"I've been wanting to get a tattoo for the longest time, and after doing some research, I came across Jing on Instagram and just knew I had to get my first...",5.0,2019-12-30 08:56:38,2krcy6ooduY4QCHnRAzM-w
7,Michael Z.,I came across a flash tattoo on Instagram and I instantly fell in love with Joseph's design. I loved the minimalistic and fine line style of his work and...,5.0,2019-10-03 15:28:40,2krcy6ooduY4QCHnRAzM-w
8,Lina T.,I reached out to Jing months in advance to book an appointment for this past weekend. I wanted a geometric design of a Chihuahua in memory of my first dog....,5.0,2019-09-16 18:47:54,2krcy6ooduY4QCHnRAzM-w
0,Jamal K.,"Took my girlfriend to get two pieces during their flash sale. I inquired with them two days ago, not only did Shane make it super easy and was able to get...",5.0,2020-02-26 15:59:24,amEkAWWagKNlkFuXIcOH5A
1,Andrea G.,Came here a couple weeks ago for a consultation on getting a cover up. The two girls were very helpful with suggestions on the placement of the new tattoo I...,5.0,2019-12-03 03:29:40,amEkAWWagKNlkFuXIcOH5A
2,Vipattra N.,Walked in for a piercing today (Sunday) with my friend. Heejung and Shane were really welcoming as soon as we walked in and got us both set up. The piercing...,5.0,2019-06-02 15:15:18,amEkAWWagKNlkFuXIcOH5A
3,Jamal K.,"Took my girlfriend to get two pieces during their flash sale. I inquired with them two days ago, not only did Shane make it super easy and was able to get...",5.0,2020-02-26 15:59:24,amEkAWWagKNlkFuXIcOH5A
4,Andrea G.,Came here a couple weeks ago for a consultation on getting a cover up. The two girls were very helpful with suggestions on the placement of the new tattoo I...,5.0,2019-12-03 03:29:40,amEkAWWagKNlkFuXIcOH5A
5,Vipattra N.,Walked in for a piercing today (Sunday) with my friend. Heejung and Shane were really welcoming as soon as we walked in and got us both set up. The piercing...,5.0,2019-06-02 15:15:18,amEkAWWagKNlkFuXIcOH5A
6,Jamal K.,"Took my girlfriend to get two pieces during their flash sale. I inquired with them two days ago, not only did Shane make it super easy and was able to get...",5.0,2020-02-26 15:59:24,amEkAWWagKNlkFuXIcOH5A
7,Andrea G.,Came here a couple weeks ago for a consultation on getting a cover up. The two girls were very helpful with suggestions on the placement of the new tattoo I...,5.0,2019-12-03 03:29:40,amEkAWWagKNlkFuXIcOH5A
8,Vipattra N.,Walked in for a piercing today (Sunday) with my friend. Heejung and Shane were really welcoming as soon as we walked in and got us both set up. The piercing...,5.0,2019-06-02 15:15:18,amEkAWWagKNlkFuXIcOH5A
0,Emily F.,i loved my tattoo from here. perfect healing process . the people there are so nice. i went back and got 4 more after,5.0,2020-02-10 19:34:49,HRI3N2_3Jy4YxO3fJ64OXA
1,Farhana H.,I got my first tattoo done here! I love how immaculate and symmetrical it came out. I love it so much and get so many compliments on it. Will definitely be...,5.0,2019-05-18 15:44:30,HRI3N2_3Jy4YxO3fJ64OXA
2,Kathy Z.,"Recently got my tragus pierced here, the employees were nice, it's $40 to pierce your tragus. I think this is standard pricing. The place is small but comfy...",4.0,2020-01-16 18:01:09,HRI3N2_3Jy4YxO3fJ64OXA
3,Emily F.,i loved my tattoo from here. perfect healing process . the people there are so nice. i went back and got 4 more after,5.0,2020-02-10 19:34:49,HRI3N2_3Jy4YxO3fJ64OXA
4,Farhana H.,I got my first tattoo done here! I love how immaculate and symmetrical it came out. I love it so much and get so many compliments on it. Will definitely be...,5.0,2019-05-18 15:44:30,HRI3N2_3Jy4YxO3fJ64OXA
5,Kathy Z.,"Recently got my tragus pierced here, the employees were nice, it's $40 to pierce your tragus. I think this is standard pricing. The place is small but comfy...",4.0,2020-01-16 18:01:09,HRI3N2_3Jy4YxO3fJ64OXA
6,Emily F.,i loved my tattoo from here. perfect healing process . the people there are so nice. i went back and got 4 more after,5.0,2020-02-10 19:34:49,HRI3N2_3Jy4YxO3fJ64OXA
7,Farhana H.,I got my first tattoo done here! I love how immaculate and symmetrical it came out. I love it so much and get so many compliments on it. Will definitely be...,5.0,2019-05-18 15:44:30,HRI3N2_3Jy4YxO3fJ64OXA
8,Kathy Z.,"Recently got my tragus pierced here, the employees were nice, it's $40 to pierce your tragus. I think this is standard pricing. The place is small but comfy...",4.0,2020-01-16 18:01:09,HRI3N2_3Jy4YxO3fJ64OXA
0,Christina W.,My son gave me a gift certificate for a tattoo at ten thousand foxes.  I had my consultion with Carlos. I showed him what u was thinking a peacock forearm...,5.0,2020-02-07 05:37:31,At4uTuPCpZdB7J1u5N5LfQ
1,Ruggy J.,"After a recent experience with Body Language, I'd definitely recommend to friends looking for a tattoo, and would certainly return for more ink in the...",5.0,2019-04-16 09:05:42,At4uTuPCpZdB7J1u5N5LfQ
2,Ellen P.,"Had my first tattoo done here and was treated so well. The shop is incredibly clean and everyone is very friendly and professional. 
Most importantly just...",5.0,2019-04-23 07:51:20,At4uTuPCpZdB7J1u5N5LfQ
3,Christina W.,My son gave me a gift certificate for a tattoo at ten thousand foxes.  I had my consultion with Carlos. I showed him what u was thinking a peacock forearm...,5.0,2020-02-07 05:37:31,At4uTuPCpZdB7J1u5N5LfQ
4,Ruggy J.,"After a recent experience with Body Language, I'd definitely recommend to friends looking for a tattoo, and would certainly return for more ink in the...",5.0,2019-04-16 09:05:42,At4uTuPCpZdB7J1u5N5LfQ
5,Ellen P.,"Had my first tattoo done here and was treated so well. The shop is incredibly clean and everyone is very friendly and professional. 
Most importantly just...",5.0,2019-04-23 07:51:20,At4uTuPCpZdB7J1u5N5LfQ
6,Christina W.,My son gave me a gift certificate for a tattoo at ten thousand foxes.  I had my consultion with Carlos. I showed him what u was thinking a peacock forearm...,5.0,2020-02-07 05:37:31,At4uTuPCpZdB7J1u5N5LfQ
7,Ruggy J.,"After a recent experience with Body Language, I'd definitely recommend to friends looking for a tattoo, and would certainly return for more ink in the...",5.0,2019-04-16 09:05:42,At4uTuPCpZdB7J1u5N5LfQ
8,Ellen P.,"Had my first tattoo done here and was treated so well. The shop is incredibly clean and everyone is very friendly and professional. 
Most importantly just...",5.0,2019-04-23 07:51:20,At4uTuPCpZdB7J1u5N5LfQ
0,Lauren F.,"Reached out last minute for a semi-impromptu tattoo. 

Su was amazing and discussed his worries about the placement and size I was thinking. 

Tattoo itself...",5.0,2019-01-07 21:00:42,K_EujGkKg0Pcv9lyKxVG0A
1,Epirose B.,"Su is AMAZING!!!!! The art, the price, everything is awesome! I highly recommend this artist for everybody who wants to add artistry on their bodies. can't...",5.0,2019-07-04 15:51:30,K_EujGkKg0Pcv9lyKxVG0A
2,Evelyn F.,"Su tattoed both my friend and me for our matching tattoos. From when we first came in, he was very kind to both of us and made us feel very comfortable. He...",5.0,2019-04-29 12:26:52,K_EujGkKg0Pcv9lyKxVG0A
3,Lauren F.,"Reached out last minute for a semi-impromptu tattoo. 

Su was amazing and discussed his worries about the placement and size I was thinking. 

Tattoo itself...",5.0,2019-01-07 21:00:42,K_EujGkKg0Pcv9lyKxVG0A
4,Epirose B.,"Su is AMAZING!!!!! The art, the price, everything is awesome! I highly recommend this artist for everybody who wants to add artistry on their bodies. can't...",5.0,2019-07-04 15:51:30,K_EujGkKg0Pcv9lyKxVG0A
5,Evelyn F.,"Su tattoed both my friend and me for our matching tattoos. From when we first came in, he was very kind to both of us and made us feel very comfortable. He...",5.0,2019-04-29 12:26:52,K_EujGkKg0Pcv9lyKxVG0A
6,Lauren F.,"Reached out last minute for a semi-impromptu tattoo. 

Su was amazing and discussed his worries about the placement and size I was thinking. 

Tattoo itself...",5.0,2019-01-07 21:00:42,K_EujGkKg0Pcv9lyKxVG0A
7,Epirose B.,"Su is AMAZING!!!!! The art, the price, everything is awesome! I highly recommend this artist for everybody who wants to add artistry on their bodies. can't...",5.0,2019-07-04 15:51:30,K_EujGkKg0Pcv9lyKxVG0A
8,Evelyn F.,"Su tattoed both my friend and me for our matching tattoos. From when we first came in, he was very kind to both of us and made us feel very comfortable. He...",5.0,2019-04-29 12:26:52,K_EujGkKg0Pcv9lyKxVG0A
0,Karen M.,"Professionally at it's finest, this my 3rd tattoo done by the one and only. I had Been following his work way before I decided to get I ink here. 



 He's...",5.0,2020-01-30 17:05:47,qxO8WGvFffj_PjuUbrGwhg
1,Leslie V.,Avi is the best tattoo artist ever! I got my first piece done with him today (a forearm tattoo in color) and I'm so obsessed with it that I plan on...,5.0,2019-12-19 15:36:36,qxO8WGvFffj_PjuUbrGwhg
2,Varsha J.,"Let's talk about professionalism first!! Avi, tattoo artist and store owner is amazing. Definitely provides great customer service and satisfaction. I have...",5.0,2019-03-16 12:34:48,qxO8WGvFffj_PjuUbrGwhg
3,Karen M.,"Professionally at it's finest, this my 3rd tattoo done by the one and only. I had Been following his work way before I decided to get I ink here. 



 He's...",5.0,2020-01-30 17:05:47,qxO8WGvFffj_PjuUbrGwhg
4,Leslie V.,Avi is the best tattoo artist ever! I got my first piece done with him today (a forearm tattoo in color) and I'm so obsessed with it that I plan on...,5.0,2019-12-19 15:36:36,qxO8WGvFffj_PjuUbrGwhg
5,Varsha J.,"Let's talk about professionalism first!! Avi, tattoo artist and store owner is amazing. Definitely provides great customer service and satisfaction. I have...",5.0,2019-03-16 12:34:48,qxO8WGvFffj_PjuUbrGwhg
6,Karen M.,"Professionally at it's finest, this my 3rd tattoo done by the one and only. I had Been following his work way before I decided to get I ink here. 



 He's...",5.0,2020-01-30 17:05:47,qxO8WGvFffj_PjuUbrGwhg
7,Leslie V.,Avi is the best tattoo artist ever! I got my first piece done with him today (a forearm tattoo in color) and I'm so obsessed with it that I plan on...,5.0,2019-12-19 15:36:36,qxO8WGvFffj_PjuUbrGwhg
8,Varsha J.,"Let's talk about professionalism first!! Avi, tattoo artist and store owner is amazing. Definitely provides great customer service and satisfaction. I have...",5.0,2019-03-16 12:34:48,qxO8WGvFffj_PjuUbrGwhg
