,ID,Name,Review_Count,Rating,Price_Rank
0,2krcy6ooduY4QCHnRAzM-w,Jing's Tattoo,80.0,4.5,$$
1,amEkAWWagKNlkFuXIcOH5A,Crush Ink,66.0,5.0,$$
2,HRI3N2_3Jy4YxO3fJ64OXA,Ching Tattoo,28.0,4.5,$$
3,At4uTuPCpZdB7J1u5N5LfQ,10 Thousand Foxes Tattoo,71.0,5.0,$$
4,K_EujGkKg0Pcv9lyKxVG0A,Soma Art Tattoo,34.0,4.5,$
5,qxO8WGvFffj_PjuUbrGwhg,Ink'd Artistry,19.0,5.0,$$
6,jcV7LZ_Xx-_Zv60iT5DYMg,Yant Studio,12.0,4.5,
7,CbMb0b7yhbtfhyflUJqkhg,Pete & Cubo's Tattooing & Body Piercing,84.0,4.5,$$
8,GVXExK_5BIiiiKcrTlGSGQ,Dragonfly 3,40.0,4.5,$
9,iilXA7Mo0EPR2MzP6PRN2g,Studio 316 Body Art,70.0,5.0,$$
10,oHa_I_TWUoSLYcUxBy9MbQ,Rebel Ink,22.0,5.0,$$
11,jeIXrxQXXKaruIv5hQHFBA,Mean Street Tattoo,62.0,4.5,$$
12,is4zyo5-reuj0cNM1Q7kgw,The Red Parlour Tattoo & Piercing,44.0,4.5,$$
13,rVmMdMyCHPN5jxYyQMLtyg,Supernova Tattoo,67.0,4.5,$$
14,bJ1a-ulgwRSO7s8Qdi6LBA,Club Inked Tattoos,40.0,4.5,$$
15,REP4bacbEvVPLWAGCt2gFQ,Studio 28 Tattoos,276.0,4.5,$$
16,VECUZKuRACGXzh1XEWHKdg,Sunnyside Tattoo,48.0,4.5,$$
17,v2lkvCL9ugbrSFosbryFAA,Assassin Tattoo Studio,18.0,4.0,$$
18,I0PFpyTv20FX_86AOVH0bA,Top Shelf Tattooing,52.0,4.0,$$
19,nUKbboS0E_od7ZT-9KcYcw,Beaver Tattoo,66.0,4.5,$$
20,yGFYRI1PFiLnPzbblQXgXg,CJ TATTOO FLUSHING,2.0,5.0,
21,yDQRGoUqCtieq3S_KcC_oA,Mischief Tattoo,135.0,4.5,$$
22,6yn6gwtbjZeOUFhTyA_hmg,Styx Tattoo,11.0,4.5,$$$$
23,UO_z5skn67WhYb-aex54Gw,Big Bang Ink,80.0,4.5,$
24,lxAR_Q7MzxvFfadXebMzGQ,7 Train Tattoo,8.0,4.0,
25,2BfEmllT-e2ZYRnyOdAijQ,True Expression,111.0,5.0,$$
26,f0E_6L_ZHqeKxBD_OtN3nw,True Blue Tattoo,91.0,4.5,$$
27,ztP04Diw9WQz_vDv52QLAg,Three Kings Tattoo,399.0,4.5,$$
28,YLTGyNAcugox9DHigcQfZQ,Ozone Tattoo,9.0,5.0,$$
29,M2fGTixoTqwfBKs_-53oPQ,StayOnPoint Tattoo Studio,34.0,4.5,$$
